187899	之
111705	不
101545	也
91428	以
84438	而
70854	其
68929	為
65996	曰
63454	者
61543	人
61024	子
48848	有
45678	於
42917	王
34087	大
31934	十
31233	則
30154	無
29210	所
29209	天
29160	下
28767	公
26512	故
26160	三
24772	年
24319	君
24252	二
23864	一
23429	上
22193	國
22178	是
21746	與
21391	侯
20797	夫
20377	可
20189	中
19463	得
18940	五
18720	言
18525	行
18098	將
17476	事
17263	使
17216	能
17184	臣
17021	何
16894	至
16822	四
16353	矣
16049	自
15876	此
15767	民
15713	太
15673	知
15499	相
15416	月
14914	道
14885	謂
14783	如
14337	後
14065	見
13958	生
13934	乃
13931	百
13746	時
13532	陽
13530	日
13432	皆
13397	乎
13143	于
13106	在
12988	帝
12780	出
12187	死
12147	非
12130	六
12111	諸
12102	欲
12027	必
11905	今
11845	然
11707	齊
11676	明
11375	聲
11039	从
10909	地
10821	若
10747	令
10743	從
10724	及
10721	軍
10623	立
10563	成
10543	用
10542	長
10299	入
10182	兵
9940	主
9864	聞
9832	文
9736	秦
9614	德
9597	未
9490	士
9456	安
9361	萬
9305	東
9195	吾
9045	焉
8957	食
8941	先
8931	數
8926	我
8906	楚
8837	禮
8826	復
8773	山
8772	心
8459	千
8429	亦
8425	南
8357	世
8318	治
8229	水
8175	九
8133	氣
8105	七
8046	名
8029	周
8025	方
8016	平
7977	善
7976	殺
7925	武
7918	元
7902	正
7892	多
7835	書
7814	命
7787	小
7678	師
7678	八
7626	西
7563	義
7502	馬
7409	足
7392	又
7390	家
7382	法
7273	高
7248	內
7218	當
7170	父
7166	亡
7152	守
7137	物
7039	遂
7004	陰
6968	去
6934	已
6933	問
6909	漢
6814	樂
6780	功
6761	利
6705	卒
6690	北
6608	來
6593	賢
6509	餘
6487	身
6463	伯
6435	歸
6400	氏
6355	封
6339	外
6268	官
6203	晉
6199	取
6191	失
6143	城
6127	居
6094	重
6089	同
6068	受
6063	反
6063	司
6034	門
5991	少
5972	孫
5962	聖
5945	常
5941	眾
5927	過
5909	服
5868	趙
5849	后
5844	車
5815	作
5786	因
5752	雖
5722	亂
5670	伐
5633	位
5631	信
5623	分
5617	始
5547	病
5545	夏
5539	朝
5514	春
5486	里
5470	或
5409	親
5364	陳
5339	罪
5337	政
5328	神
5303	請
5298	惡
5253	莫
5165	女
5069	歲
5053	吏
5034	孝
5012	發
5009	舉
5004	黃
4972	秋
4959	孔
4958	且
4955	郡
4888	右
