oj 哀,埃
tshjeX 此,泚
sjeH 賜
tshijH 次
tshjeH 刺,朿
tshjek 刺
tshuwng 聰,蔥
dzjowng 從,従,蹤
dzuwng 叢
tshuwX 取
tshu 麤,粗
dzu 徂
tshjowk 趣,促
tshwanH 竄
dzwoj 崔
tshwoj 衰,縗,催
tsrhjwe 衰
dzwijH 萃
tshjwejH 脆,毳,帨,脃,䄟
tshjwet 膬
tshwojH 啐,倅,焠,淬
tsrhjwejH 毳,㯔
dzwon 存
tshwonX 忖,刌
tshwonH 寸
tsha 差,磋,蹉
tshwat 撮
dza 鹺
tshaX 瑳
tshwaX 脞
tshak 錯
tshuH 措
tshwaH 剉
dat 達
tat 憚,怛
top 答,荅,畗
daH 大
dajH 大,汰
dojX 待,殆,怠,紿,詒,迨,𨽿
dojH 代,逮,隶,袋
tajH 帶
thojH 貸,態
tojH 戴
tam 儋,擔
tan 單,丹,鄲,簞
tom 湛,耽
tamX 膽
tanX 亶,癉,𤺺
damX 澹,淡,啖,啗,憺
damH 啗
danX 但,誕
danH 彈
domX 禫,窞,萏
tamH 擔
tanH 旦,憚
tang 當
tangX 黨
dangX 蕩,盪,愓
dangH 蕩,碭
tangH 當
taw 刀
dawH 道,盜,悼,導,蹈,纛
tawX 禱,倒,擣,島
dawX 道,稻
tawH 到,倒
tok 得,德
tong 登,燈,鐙,豋
tongX 等
tej 氐,低,堤
dek 敵,狄,翟,糴,滌,覿,踧,蓧,篴
tek 弔,嫡,的,适,蹢,滴
tejX 抵,氐,底
dejX 弟,娣,遞
dejH 折,第,禘,棣,睇,杕,軑
dijH 地
tejH 帝,嚏
ten 顛,驒
temX 點,玷,㓠
tenX 典
demX 簟,驔
denH 殿,奠,電,甸,畋,佃
temH 玷,坫,墊,㓠,店
tenH 殿
tew 雕,彫,刁,凋
tewH 弔,釣
det 迭,跌,垤,墆
dep 牒,疊,蝶,碟
tep 輒,墊
teng 丁,釘
tengX 鼎,頂,打
dengH 定
tengH 定,釘
towng 冬
tuwng 東
duwngX 動
tuwngH 凍,棟
tuw 兜
tuwX 斗
duwH 竇,豆,脰
tuwH 鬥,鬭
tu 都
dowk 毒,纛
duwk 獨,讀,瀆,犢,牘,櫝,髑,匵
sowk 裻
towk 篤,督,裻
tuX 睹,堵,賭,肚
duX 肚
duH 度,渡
tuH 妒,蠹,妬
twan 端,耑
twanX 斷,短
dwanX 斷
twanH 斷,段
twoj 敦,堆,𠂤
drwijH 墜,隊,懟
dwajH 兑,脱
dwojH 隊
trwijH 轛
twojH 對
twon 敦
dwonX 盾,遁,豚,遯
dwonH 遁,遯
ta 多
twot 咄
dak 度,鐸
dwat 奪,脫,脱
twat 掇
daX 舵
dwaX 墮,惰,隋,隓
a 阿
nga 俄,娥,蛾,鵝
ngaek 額
ngwa 訛,譌,吪
ak 惡,堊
at 閼,遏,頞,靄
eak 厄,阨,隘,搤,軛,戹
ngaH 餓
ngak 諤,愕,咢,遌
on 恩
nyi 而
nye 兒
nejX 爾,尼
nyiX 耳
nyiH 餌
nyeX 爾,邇,尔
nyijH 二,貳
pjot 發,髮,彂
bjop 乏
bjot 伐,罰
pjop 法,灋
phjon 番,翻,拚
pjon 蕃,藩
bjom 凡
bjon 煩,樊,蕃,繁,燔
baenX 反
bjomX 犯,范,範
bjonX 飯
bjonH 飯
bjuwng 馮,汎
phjomH 泛
phjang 芳,妨
pjang 方,匚
bjang 房,防,魴,坊
phjangX 紡,髣
phjangH 訪
pjangX 放,昉,旊,瓬
pjangH 放,舫
phj+j 妃,霏
pj+j 非,飛,誹,蜚,騑,扉
bj+j 肥
phj+jX 斐,朏,悱
pj+jX 匪,蜚
bjojH 吠
phj+jH 費,昲
phjojH 肺
phjut 拂,茀,祓,彿,艴,刜
pj+jH 沸,芾,疿
pjojH 廢,祓
pjun 分,饙,𦐈
bjun 賁,焚,墳,汾
pjunX 粉
bjunX 憤,墳
bjunH 分
pjunH 奮,糞
phjowng 豐,鋒,蜂,峰
phjuwng 豐
pjowng 封
pjuwng 風,楓
bjowng 逢,縫,夆
pjowngX 覂
bjowngX 奉
bjowngH 縫
phjowngX 奉,捧
phjuwngH 賵
pjuwngH 風,諷
pjuwX 否,缶
phju 敷,鋪,痡
pju 夫,膚
bj+jH 怫
bjowk 幞
bju 夫,扶,符,鳧,芙
bjut 佛,怫,咈
bjuw 浮,枹,桴,蜉
bjuwH 復,伏,𨺅
bjuwk 復,服,伏,匐,畐,箙,輹,复,𠬝
bok 匐
pjut 弗,茀,紱,芾,甶
pjuwk 福,腹,複,輻,幅,畗
bjuX 父,輔,腐
phjuX 撫
pjuX 父,府,甫,斧,脯,俯,鈇,簠
bjak 縛
bjuH 傅,附
bjuwX 服,婦,負,阜,𨸏
phik 副
phjuH 赴,仆
phjuwH 覆,副,仆
phjuwk 覆
pjuwH 富
koj 該,垓
kojX 改,攺
kajH 蓋,匃
kat 割,葛,括,匃
kojH 溉,概
kam 甘
kan 干,乾,肝,奸,竿,飦,漧
kamX 敢
kanX 笴,簳,秆
komX 感,贛
kanH 幹,倝
komH 贛,紺
kang 剛,綱,亢,岡,鋼,崗
kaw 高,皋,膏,羔,鼛
kawH 告,膏,誥
kawX 稿
kowk 告,郜
ka 歌,柯
kak 各,閣,胳
kop 合,閤,韐,鴿
kwa 過,戈
kaek 格,𢓜
keak 革,隔,鬲
keap 夾,韐
kaH 個,箇,个
kon 根
kongH 亙
kaeng 更,庚,羹
keang 耕
kaengX 梗
keangX 耿
kaengH 更
kjowng 恭,供,龔,龏
kjuwng 宮,弓,躬,躳
