oj 哀,埃
phanH 判
baewng 龐
bang 旁,傍,彷,徬,蒡
phang 雱
phaew 摽
baew 庖,匏
baw 袍
bij 邳,𧳏
phajH 沛,肺
phwojH 配
bwon 盆
phaeng 亨,烹
baeng 彭
bong 朋,鵬
buwng 逢,芃,篷
phij 丕
phje 被,披
bej 鼙
bje 罷,皮,疲
bjie 脾,裨
bjij 毗,貔
phjieX 諀
phjit 匹
phejH 淠
phjeH 被
phjieH 譬
phjiek 僻
phjien 篇,偏,翩
ben 駢,蹁
bjien 平,便,諞
phenH 片
phjienH 騙
phew 摽
bjiew 瓢,薸
phjiew 票
bin 貧
bjin 頻
phimX 品
bjijX 牝
bjinX 牝
phjiengH 娉
pheng 甹
beng 屏,瓶,缾,萍,苹
bing 馮,憑
bjaeng 平
pha 頗,坡
phaH 破
phuwX 剖
phu 鋪,痡
phuwH 仆
phuwk 撲,扑
bu 蒲,匍
phaewk 樸
phuX 普,浦
gi 其,期,旗,騏,綦,麒,淇,棋,丌
khi 欺
sej 西,犀,棲,栖,嘶,屖
tshej 妻,萋
tshek 戚,慼,鏚
tship 緝
tshit 七,漆,桼
dzej 齊,臍,懠
dzejH 懠
gij 耆,祁,鰭
gje 騎,奇,岐,錡,弜
gjie 歧,祇
khejX 稽,啟,棨,启,䭫,綮
khiX 起,杞
khj+jX 豈
khj+t 乞
khjeX 綺
khjieX 企
khjieH 企
khejH 契
khiH 亟
khijH 器
khip 泣,湆
khj+jH 氣,气
khjijH 棄,弃
tshejH 妻
heap 洽,狹,峽
kheat 㓞
khem 謙
khen 牽
khjen 騫,愆,褰,䇂
tshen 千,阡
tshjem 僉,譣
tshjen 遷,𠨧
tsyen 鸇,饘,氈,餰
dzen 前
dzjem 潛
dzjemH 潛
dzjen 錢
gjem 黔,鉗
gjen 乾,虔
zjem 燂
khjienX 遣
tshjemX 譣
tshjenX 淺
kheamH 歉
khjienH 遣
khjomH 欠
tshjemH 塹
khjang 羌
gjang 彊,强
gjangX 誩,强
khaew 磽,骹
gjew 橋,喬,蕎
gjiew 翹
khaewX 巧
khewH 竅
tshjaeX 且
khep 匧
khet 契,㓞,鍥
tshet 竊,切
tshjep 妾
khim 衾
tshim 侵,浸,駸
tshin 親
dzim 鬵
dzin 秦
gim 禽,琴,擒
zim 尋,鬵,爓
khinX 螼
khinH 螼
tshimX 寢
gimH 衿
khjaeng 卿,𠨍
khjieng 輕
khjwieng 傾
tsheng 青
tshjeng 清
dzjeng 請,情,晴
khengX 謦
khjwiengX 頃
tshjengX 請
khengH 磬,罄,殸,𥥻
khjaengH 慶,竟
tshjengH 倩,凊
gjuwng 窮
gjwieng 瓊,瞏
khjuw 丘,蚯
tshjuw 秋,緧
dzjuw 酋,蝤
gjuw 求,仇,裘,球,逑
tsjuw 遒
zjuw 囚,泅
khjaep 胠
khjowk 曲
khju 驅,區
khjut 屈
gjo 渠,蘧
gju 瞿,劬,絇
tshjuX 取
khjoX 去
khjoH 去
khwek 闃
tshjuH 取,娶,趣
dzjwen 泉,全
gjwen 權,卷,拳,捲,鬈
khwenX 犬
khjwonH 勸
khwet 缺,闋
khaewk 殼,確
khjak 卻,却
khjwot 闕
tshjak 鵲,舄
khwin 囷
tshwin 夋
gjun 群,羣,裙
nyem 髯
nyen 然,燃,㸐
nyemX 染
nyenX 熯
nyang 攘,禳
nyangX 壤,攘
nyangH 讓
nyew 饒,橈,襓
nyewX 擾,繞
nyewH 繞
nyet 熱
nyim 壬,紝
nyin 人,仁,儿
nyimX 衽,稔,荏,飪,恁
nyinX 忍
nrim 紝
nyimH 任,衽
nyinH 刃,仞,軔,認,訒
nying 仍
nyit 日,衵
hjwaeng 榮,瑩,嶸
nyuwng 戎,茙
yowng 容,庸,頌,傭,蓉,㝐
yuwng 融,肜,彡,䑣
nyuw 柔
nyuwk 肉
nyo 如,洳
nyoX 汝,茹
nyoH 茹,洳
nyu 濡,襦
nyowk 辱,蓐,縟
nyuX 乳
nyip 入,廿
nyuH 孺
nywij 緌
dzyweH 瑞,睡
ywejH 睿,鋭
nywinH 閏,潤
nyak 若,弱,叒
sreaX 灑,洒,纚
sreaH 灑,曬
srjeH 灑
sat 摋
sojH 塞
sam 三,參,叅
samH 三
sanX 散,傘
sanH 散
sang 喪,桑
sangX 顙
sangH 喪
saw 騷,搔,臊,鱢
sawH 燥,譟
sok 塞
srik 色,嗇,穡
srit 瑟,蝨,蟋
srim 參,森,参
srae 沙,鯊
sreat 殺
sraep 翣
sreap 歃
srjep 歃
srje 釃
sreajH 殺
sraem 髟,芟
sraen 潸
srean 山,潸
syem 苫
syen 膻,羶,羴
dzyemH 贍
dzyenX 善,壇,墠
dzyenH 擅,禪,繕
syemH 苫
syenH 扇
syang 傷,湯,商,觴,饟,愓
syangX 賞,饟,曏
dzyangX 上
dzyangH 上,尚
syangH 餉,饟,曏
sew 蕭,簫,捎,瀟
sraew 筲
syew 燒
dzyak 勺,杓
syewX 少
dzyewX 召
dzyewH 邵
sraewH 削,稍
syewH 少
syae 奢,賒,賖
dzyet 折
zyae 蛇
zyet 舌
syaeX 舍,捨
dzyaeX 社
syaeH 舍,赦
syep 攝,韘
syet 設
zyaeH 射
zyek 射
srin 莘,詵,屾,兟
syim 深
syimH 深
syin 身,申,伸,紳,娠,呻
tsyinH 震,振,娠
syimX 審,沈,諗
syinX 哂
tsyhimX 瀋
dzyimX 甚
dzyimH 甚
dzyinX 腎,蜃
dzyinH 慎
srimH 罧
zyimX 葚
sraeng 生,甥
srjaeng 生
sying 勝,升,陞
syeng 聲
dzyengH 盛
syingH 勝
syengH 聖
zyingH 乘,剩
srij 師
syi 詩
syij 尸,屍,蓍
syip 濕,溼
syit 失,室
sye 施
dzyi 時
dzyip 十,什,拾
dzyek 石,碩
syik 飾,識,式,拭
zyik 食,蝕
zyit 實
sriX 使,史
sriH 使
syiX 始
syijX 矢,屎,𦳊
dzriX 士,仕
dzriH 事,亊
dzrijX 柿
dzyiX 市,恃
dzyiH 侍
dzyijX 視
dzyijH 視,嗜
dzyeX 是,氏
dzyejH 筮,誓,逝,噬
syek 適,釋,螫,奭,适,檡,襫,𥼶
syiH 弒,試
syejH 世,勢,埶,貰
tsyik 職,織,戠,樴
tsyek 適,炙,摭,隻
xik 奭
zyijH 示
zyeX 舐,舓
syuw 收
syuwX 守,首,手,𦣻
syuwH 守,首,獸,狩
dzyuwX 受,壽
dzyuwH 壽,授
srjuwH 瘦,漱
dzyu 殊,殳,𠘧
dzyuwk 孰,熟,淑,倏
srjo 疏,疋,蔬,梳,疎
syo 書,舒,紓
syu 輸
syuwk 叔,菽,儵,尗
trhjo 楮,攄
tsyhu 樞
zyoX 杼,紓,抒
zyowk 贖
zywit 術,述,朮,秫,鉥
dzyoH 署
dzyowk 屬,蜀
srjuX 數
syoX 暑,鼠,黍,癙
dzyuX 樹,豎
dzyuH 樹,尌
srjuH 數
syoH 庶,恕
syowk 束
syuH 戍
srjwet 刷
srwaet 刷
srwij 衰
srwijH 率,帥
srwit 率,蟀
sraewng 雙
srjang 霜
dzywij 誰
sywijX 水
sywejH 說,稅,帨,税
zywinX 楯
sywinH 舜
zywinH 順
sywet 說
sraewk 數,朔
si 司,思,絲
sij 私,厶
sje 斯,虒,𩆵
sijX 死
sijH 四,肆,駟
ziX 祀,巳,似,耜,鈶,禩
ziH 食,嗣,寺,飤,飼
zijX 兕
zriX 俟
sjuwng 嵩,崧
zjowng 松
sowngH 宋
suwngH 送
zjowngH 訟,頌,誦
srjuw 搜,廋
suwX 叟,叜,傁
suwH 嗽
su 蘇,穌
zjowk 俗,續,藚
sjowk 粟
sjuwk 宿,肅,夙
suH 素,訴,愬,泝,遡,溯,㴑,𧪜
suwk 速
swan 酸
swanH 算,蒜,祘
swij 雖,綏,睢
zjwe 隨,隋
sjweX 髓
sjweH 隋,瀡
dzwit 誶
sjwejH 歲,歳
swijH 祟,誶
swojH 碎
zwijH 遂,隧,燧,穗,穟,檖,𥝩
swon 孫,飧
swinX 隼,筍
swonX 損
sa 獻,娑
srjuwk 縮
swa 蓑
sak 索
srjoX 所
swaX 瑣,鎖,鏁
tha 他,它,佗,拖
that 闥,獺,撻,𦍒
trhaet 獺
dap 蹋
dop 沓,遝,眔
thoj 胎
doj 臺,苔
thajH 太,泰
than 歎,嘽,灘
thom 貪,探
dam 談
dan 壇,彈,鼉
dom 覃,潭,燂
thanX 坦
thomX 醓
thanH 嘆,炭
thang 湯,康,唐,鏜
dang 堂,唐,棠,螳,塘,餳,糖
thangX 儻,倘,攩
thaw 滔,叨,饕,夲
daw 陶,逃,桃,濤,鞀,鼗,匋
thawX 討
dok 特,犆
thok 慝,忒
dong 滕,騰,縢,藤
thej 梯,睇
thek 惕,剔
dej 提,啼,蹄,荑,嗁
thejX 體,涕
thejH 涕,替,剔,洟,薙
them 添
then 天,吞
den 田,填,畋
denX 殄
themX 忝,舔
themH 忝
thenX 腆
thew 挑,蓧
dew 調,條,跳,𠧪
dewX 挑,窕
thewH 眺
thep 帖,貼,怗
thet 鐵,餮
theng 聽,汀,聴
deng 廷,庭,亭,停
thengX 挺,町,𡈼
thengH 聽,聴
thuwng 通
downg 彤
duwng 同,童,銅,桐,僮,侗,筒
thuwngX 統,桶
duwngH 慟
thuwngH 痛
thuw 偷
duw 頭,投,歈
dwot 突,腯
thuwk 禿
thwot 突
du 徒,圖,塗,屠,涂,途,瘏
thu 稌
thuX 土,吐
thuH 吐,兔
thwan 湍
dwan 摶,團
thwanX 畽
thwanH 彖
thwoj 推,焞
dwoj 頹,隤,魋
thwajH 蜕
thwojH 退
thon 吞
thwon 焞
dwon 屯,豚,𡱂,𢄉
thak 託,橐,托
thwat 脫,捝,脱
da 沱,鼉,驒,鮀,跎,紽
thwaX 隋,橢,妥
wae 汙,污,鼃,漥
wea 蛙,鼃
hwea 鼃
ngwaeX 瓦
mjot 襪,韈
ngwajH 外
jwonX 宛,苑,婉,夗
mjonX 晚
ngwanH 玩,翫
wang 汪,尪
hjwang 王
jwangX 枉
hjwangX 往,迋
mjangX 罔,網,网,惘
hjwangH 王,迋
mjangH 望,忘,妄
jw+j 威
jwe 委
weaj 崴
woj 隈
mj+j 微
ngjw+j 魏,巍
ngjwe 危
hjw+j 圍,違,韋
hjwe 為,爲
hwij 帷
ngwoj 嵬
ngwojX 嵬
ywij 惟,唯,遺,維,壝
jweX 委,骫
hjw+jX 偉,煒,韡
hwijX 鮪,洧
mj+jX 尾,亹
ngjweH 偽
nrjweH 諉
jw+jH 尉,畏,慰,蔚,㷉
hjw+jH 謂,胃,蝟
hjweH 為
hjwejH 衛
hwijH 位
mj+jH 未,味
ngjw+jH 魏
ywijH 遺
won 溫,温,𥁕
mjun 聞,文,蚊,彣,蚉
ngonX 眼
mjunH 聞,問,紊
uwng 翁
uwngH 甕,瓮
ngaX 我
aewk 渥,葯,鷽
waek 擭
ngwaH 臥
u 於,惡,烏,嗚,洿,杇,圩
uwk 屋
ngu 吾,吳,梧
mjuX 武,舞,侮,憮,儛
nguX 五,午,伍
uH 惡
mjuH 務,霧,鶩
mjut 物,勿
nguH 誤,寤,悟,啎,晤,遻
ngwot 兀
hej 兮,奚,蹊,騱
khej 谿,溪
sek 錫,析,皙,晳
sik 息,熄
sit 悉,膝
sjek 昔,惜,舄,潟
xi 熹,熙,譆
xip 歙,翕,吸,噏
xj+j 希,豨,稀
xje 犧,羲,䖒
xjij 屎
zjek 席,夕
zip 習,襲,隰
sejX 洗,洒,姺
siX 枲,葸
sjeX 徙,璽
srjeX 灑,纚
xiX 喜
xj+jX 豨,狶
hejH 繫,系,禊
khjaek 郤,隙,綌,𡭴
sejH 細,婿,壻
xek 鬩
xijH 塈
xjaek 虩
xjeH 戲
haep 狎,匣,柙
haet 轄,舝
heat 黠
haeX 下,夏,廈,厦,ㄒ
haeH 下,夏,暇,芐,ㄒ
xaeH 嚇
sen 先,蹮
sjem 纖,譣
sjen 鮮,仙,僊
xen 天
haem 銜
heam 咸,鹹
hean 間,閒,閑,瞷
hem 嫌
hen 賢,弦,臤,誸
zjen 㳄
senX 洗
sjenX 鮮,獮,癬,𤣔
xenX 顯
xjaemX 險
xjemX 險
heamH 陷,臽
heanX 限
henX 俔
henH 見,現
hwenH 縣
senH 先,霰,𩆵
xjonH 獻,憲
zjenH 羨
sjang 相,襄,箱,纕
xjang 鄉,香,皀,薌,膷
haewng 降,夅
zjang 祥,詳,翔,庠,痒
sjangX 想
xjangX 鄉,享,饗,亨,響,曏,亯
haewngX 項
haewngH 巷,𨛜
sjangH 相
xjangH 鄉,向,嚮,曏
zjangX 象,像,橡
hjew 鴞
sjak 削
sjew 肖,消,銷,宵,霄,逍
sjewX 小
xewX 曉
haewH 校,效,斆
sewH 嘯
sjewH 笑,肖,削
xaewH 孝
set 屑,楔
xjot 歇
hea 鞵,鞋
hep 挾,協,劦
het 絜,擷
tsep 挾
xjaep 脅
zjae 邪
sjaeX 寫,瀉
heaX 解,蟹
heaH 邂
heajH 械
sep 燮,屧
sjaeH 卸
sjet 薛,泄,洩,褻,絏,辥
yejH 泄,裔,曳,洩,勩
zjaeH 謝
sim 心,叅
sin 新,辛,薪
xeng 馨
xim 歆
xj+n 欣,昕
simX 罧
sinH 信,訊,囟
xinH 釁,衅
seng 星,腥
xing 興
haengH 行
heng 刑,形,邢,陘,硎
sengX 醒
sjengX 省
haengX 杏,荇
heangX 幸
sjengH 姓,性
xjowng 凶,訩,胷
xjwaeng 兄
hjuwng 雄,熊
sjuw 修,脩,羞
xjuw 休,鵂
xjuwX 朽
sjuwH 宿,繡,秀
zjuwH 袖
khjo 虛,墟,袪,𠙴
sju 須,需,鬚
swit 戌,恤,訹
xjo 虛
zjo 邪,徐
sjoX 湑
xjoX 許,栩
sjoH 絮
xjowk 頊
xjuwk 畜,蓄,嘼,慉,稸
xjwijH 侐
xwik 洫,閾,淢,侐,緎
zjoX 序,敘,緒,嶼
sjwen 宣,亘
xjon 軒
xjwien 儇,翾
xwen 駽
hwen 縣,玄,懸
zjwen 還,旋,㘣
sjwenX 選,饌
xjwonX 咺,烜,晅
hwenX 鞙
sjwenH 選
xwenH 絢,駽
zjwenH 旋
hwet 穴
sjwet 雪
xjak 謔
xjwiet 烕
xwet 血
xjun 熏,薰,葷
swin 荀,恂
zwin 循,巡,旬,馴,紃
swinH 峻,迅,濬
xjunH 訓
zwinH 徇,殉
ae 鴉
aep 壓,押
jiep 厭
ngae 牙,芽
ngea 崖,涯,厓
yae 邪,耶
aeX 啞
ngaeX 雅,庌
aeH 亞
eat 軋,揠
ngaeH 御,訝,迓
xaeX 襾
ean 殷
en 咽,煙,烟
jem 淹
jen 焉,鄢
jiem 厭,猒
jon 鄢
jonX 偃,鄢,㫃,鰋
hjen 焉
hjem 炎
ngaem 巖
ngaen 顏
ngen 研,妍
ngenH 硯,硏
ngjaem 嚴
ngjon 言,甗
yem 鹽,閻,檐,阽,壛
yen 延,筵,羨
ywen 緣,捐,沿
jemX 掩,奄,揜
ngeanX 眼
ngjaemX 儼
ngjenX 巘
ngjenH 諺,彥,讞,甗,喭
ngjonX 巘
yemX 覃,剡
yenX 衍,演
aenH 晏,鴳
enH 燕,晏,宴,咽
jemH 饜
jiemH 猒
ngaenH 鴈,雁
ngjemH 驗
ngjonH 鬳
yemH 鹽,豔,爓
jang 央,殃,鴦
yang 陽,羊,揚,楊,洋,瘍,昜,颺,痒,鍚
ngjangX 仰
yangX 養,癢
yangH 羕,樣
ew 幺,么
jew 夭
jiew 腰,邀
haew 效,爻,肴
ngew 堯
yew 陶,搖,謠,遙,姚,徭,傜,䍃,媱,窰,摇
ewX 窈
jiewH 約,要
ngaewH 樂
yak 藥,躍,籥,龠
yewH 耀,燿,曜,覞
et 噎
yaeX 也,野,冶,埜,𡐨
jot 謁
hip 爗,燁
hjep 爗,燁
ngjaep 業,鄴
yaeH 夜
yek 亦,易,掖,液,譯,繹,驛,腋,奕,弈,蜴
yep 葉,枼
yet 抴
ej 鷖,繄
j+j 衣,依
jij 伊,咿,吚
jip 揖,挹
jit 一,壹
ngi 疑
ngj+j 沂
ngje 宜,儀
yi 台,頤,貽,怡,詒,𦣞,𦣝
yij 夷,寅,彝
ye 移,蛇,匜,迻,乁
it 乙,乚
j+jX 偯
jeX 倚,猗,椅
hiX 矣
ngj+jX 螘
ngjeX 蟻,蛾,錡,螘,檥
yiX 以,已,苡,㠯
yeX 胣
ejH 翳,縊
iH 意
ijH 懿,饐,㦤
ik 抑,億,噫,臆,憶
ip 邑,浥
j+jH 衣
jejH 瘞
jieH 縊
jiek 益,嗌,膉
op 唈
ngejH 詣,羿
ngek 鷁
ngijH 劓
ngj+jH 毅,豙,藙
ngj+t 仡
ngjeH 義,議,誼
ngjejH 㓷
ngjiejH 埶,藝,蓺
ngjojH 乂,刈
yiH 異,异
yik 翼,弋,翊,翌
yit 溢,逸,佚,鎰,佾
yeH 易
ywek 役,疫
im 陰,音
in 駰
j+n 殷,慇
jim 愔
jin 因,禋,闉,垔,陻
ngin 銀,誾
ngj+n 垠,圻,犾
yim 淫,㸒
yin 寅,夤
imX 飲,㱃
j+nX 隱,乚,隐,𠂣
yinX 引,蚓,螾,廴
yinH 引,胤,朄
ywinX 尹,允,狁
imH 飲,蔭
j+nH 隱,隐
jinH 印
eang 罃,罌,鶯
ing 應,膺,鷹
jaeng 英
jieng 嬰,纓
hweng 熒,螢
ngjaeng 迎
ying 蠅
yeng 盈,嬴,楹,贏
yweng 營
jaengX 影
yengX 郢
ywengX 潁,穎
ngjaengH 迎
jowng 雍,壅,癰,邕
hjwaengX 永
hjwaengH 詠,泳,咏
yowngX 勇,踊,俑
yowngH 用,⽤
jiw 幽,𢆶
juw 憂,優,耰
yuw 猶,由,游,遊,攸,悠,斿,油
hjuw 尤,訧
hjuwX 有,右,友,祐,𠂇
yuwX 酉,誘,牖,莠
jiwH 幼
hjuwH 又,右,祐,囿,佑
hjuwk 囿
ju 紆,迂
hju 于,雩,竽,迂,盂,𠌶
jo 於
ngjo 魚,漁,鋙,䱷,𩺰
ngju 虞,愚,隅,娛
yo 餘,予,余,輿,譽,歟,舁
yoX 與,予,舁,与
yu 踰,俞,諛,逾,臾,榆,愉,渝,窬
zyu 蝓
juX 傴
hjuX 雨,羽,禹,宇
ngjoX 御,語,禦,圉,圄,鋙
yuX 愈,庾
jut 尉,鬱,蔚
juwk 郁,奧,彧,薁
hjuH 雨,芋
hwik 或,域,緎
hwit 汩
ngjoH 御,語,馭
ngjowk 玉,獄,𤣩
ngjuH 遇,寓
yoH 與,豫,譽,預,鸒
yowk 欲,浴,慾
yuH 喻,裕
yuwk 育,鬻,昱,毓,儥,煜,𧶠,𠫓
ywit 聿,矞,遹,繘
jwien 悁,娟
jwienX 蜎
wen 淵,蜎,肙
gjwienX 蜎
hjwen 員,圓,圜
hjwon 園,援,袁,爰,垣,轅,猨
ngjwon 元,原,源,黿
hjwonX 遠
jwonH 怨
hjwenH 媛,院
ngjwonH 願,愿,𩕾
jak 約,葯
hjwot 曰,越,粵,鉞,戉
ngaewk 樂,嶽,岳
ngjwot 月,軏
ngwaet 刖
ywet 說,悅,蜕,悦,閲,恱
hjun 云,雲,員,芸,耘
hwin 筠
ywin 勻,匀
junX 韞,藴
hwinX 隕
junH 慍,縕,愠,藴
hjunH 運
hwinH 均,韻,韵
yingH 孕
tsop 帀,噆
dzop 雜,雥
tsoj 哉,災,栽,灾,烖,𢦒,𢦏
tsojX 載,宰
dzojX 在
dzojH 載
tsojH 載,再
tsom 簪
tsrim 簪
dzamH 暫
tsanH 贊
tsang 臧,贓
dzangH 藏
tsangH 葬
tsaw 遭,糟
dzak 鑿,昨,怍
dzowk 鑿
tsawX 早,棗,蚤,藻,澡,繰
dzawX 造,皁
sawX 燥,掃
tsawH 躁,竈
draek 澤,擇,宅
tsok 則
tsraek 柞
tsreak 責,咋
dzok 賊
tsrimH 譖
dzing 繒
tsong 曾,增,憎
dzongH 贈
tsingH 甑
tsrae 柤
tsreat 札
tsreap 眨
dzraeH 乍
tsraeH 詐
treak 謫,摘
tsreaj 齋
dreaX 豸,廌
tsreaH 責,債
tsreajH 祭,瘵
trjem 沾
trjen 鱣
tsyem 占,瞻,詹,厃,噡
tsyenX 饘
trjenX 展,襢,㠭,輾,搌
trjenH 展,襢
tsreamX 斬
tsreanX 盞
dzraenX 棧
dzraenH 棧
dzreanX 棧,轏
tsyenH 戰
trjang 張
tsyang 章,璋,獐
trjangX 長
tsyangX 掌
drjangX 丈,杖
trjangH 帳
traew 啁
trjew 朝,鼂
tsyew 昭
tsraewX 爪,㕚,抓
tsyewX 沼
draewH 濯,櫂
drjewX 趙,兆,肇
drjewH 召
traewH 罩
tsyewH 詔,照,炤
tsyae 遮
dreak 謫
drip 蟄
nep 慹
traek 乇
trjep 輒,耴
trjet 哲,悊
tsyejH 制,製,瘈,晢,狾
tsyep 懾,慹
tsyet 折,晢
tsyaeX 者,赭
tsyaeH 炙,柘,蔗
trim 椹,砧
trin 珍
trjeng 貞,禎
tsrin 榛,蓁
tsyim 鍼,箴,斟,針
tsyin 真,振,甄,縝
drinH 陳,診,陣
trhinX 辴
tsyimX 枕
tsyinX 軫,診,畛,㐱,袗,稹,鬒
drimX 朕
trhinH 疹
trinH 鎮
tsyimH 枕
dzreang 崢
treang 丁
tring 徵
tsreang 爭,箏
tsying 蒸,烝,脀
tsyeng 正,征
tsyingX 拯,抍,撜
tsyengX 整
drjengH 鄭
tsyingH 證
tsyengH 正,政,証
trje 知,蜘
tsyi 之
tsyij 祗,脂
tsyip 執,汁,慹
tsye 支,枝,觶,肢,卮,胑
driH 治,植,值
drik 直
drjek 躑
dzyik 殖,植,埴
trik 陟,稙
trip 縶
trijX 黹
tsyiX 止,趾,茝
tsyijX 指,旨,砥
tsyeX 只,咫,紙
drijX 雉
drijH 遲,稚,緻,稺
drjeX 豸
drjejH 彘,滯
triH 置
trijH 致,質,躓,疐
trit 窒
trjeH 智
tsrit 楖
tsyiH 志,識,誌
tsyijH 至,摯,鷙
tsyit 質
tsyeH 示,寘,忮
dzowng 潨
trjuwng 中,忠
tsyowng 鍾,鐘,妐
tsyuwng 終,螽,潨
trjowngX 冢
tsyowngX 種,腫
drjowngX 重
drjowngH 重
drjuwngH 仲
trjuwngH 中
tsyowngH 種
tsyuwngH 眾,衆
tsyuw 周,州,舟,洲
tsyuwk 祝,粥,鬻
drjuwk 逐,軸
trjuwX 肘,疛
tsyuwX 帚,箒
drjuwX 紂,酎
drjuwH 冑,宙
dzrjuwH 騶,驟
trjuwH 晝,咮
tsrjuwH 縐,皺
tsyuwH 祝,呪
trjo 豬
trju 誅,邾,株,蛛
tsyo 諸
tsyu 朱,珠,侏
trjowk 瘃
trjuwk 竹,築
tsyowk 屬,燭,矚
trjoX 褚
trjuX 丶,拄
trjuH 注,駐,壴
tsyoX 煮,渚,陼,煑,䰞
tsyuX 主,斗
drjoX 杼,紵,竚
drjoH 除,箸
drjuX 柱
drjuH 住
dzrjoH 助
trjoH 著
tsyuH 鑄,馵
tsraew 抓
tsrwae 髽
tsywen 專,顓,摶,専
trjwenX 轉
drjwenH 傳
dzrjwenX 撰
trjwenH 傳
tsrjang 莊,妝
draewngH 撞
dzrjangH 狀
tsrjangH 壯
trwij 追
tsywij 隹,錐,騅
tsywijX 沝
trwin 屯
tsywin 淳
tsywinX 淳,準
traewk 卓,琢,斲,啄,桌
tsraewk 斮,捉
tsywet 拙
draewk 濁,擢,濯
drjak 著
drjowk 躅
trjak 著
trjwejH 叕
tsrjak 斮
tsrjwet 茁
tsrweat 茁
tsyak 酌,勺,斫,繳
tsi 茲,滋
tsij 資,咨,粢,諮,齍
tsri 緇
tsiX 子,梓
tsijX 姊,秭
zje 訾
dziH 字
dzijH 自
tsijH 恣
tsjowng 從
tsowng 宗
tsuwng 總,緫,揔,稯,豵,緵
tsuwngX 總,緫,揔
dzjowngH 從
tsjowngH 縱
tsowngH 綜
tsrjuw 鄒,騶,掫,鄹
tsrjuwX 掫
tsuwX 走
tsuwH 奏
dzuwk 族
tsjowk 足
tsuwk 鏃
tswit 卒
tswot 卒
tsrjoX 俎,阻
tsuX 祖,組
tswan 鑽
tswanX 纂
tswoj 朘,䘒
tsjweX 觜
dzwojX 罪
tswajH 最
tswijH 醉
tswin 遵,僎
tswon 尊,樽
tsaX 左,𠂇
tsaH 左,佐
dzuH 阼,祚,胙
dzwaX 坐
dzwaH 坐,座
tsak 作,糳
tsuH 作
, ,,，
. .,。
/ /
\n \n
… …
... ⋯
  　
; 、,；
< 《,〈
> 》,〉
" 「,」,『,』
[ 【,[
] 】,]
! ！
( （,(
) ）,)
: ：
? ？
lewX 了
pjeng 併
khanX 侃
gjwenH 倦
tshenH 倩
tshoj 偲
dzrjenX 僎
song 僧
nyju 儒
nyjem 冉,冄
laengX 冷
mjunX 刎,吻
bwan 叛
ngawH 奡
phijH 屁
swonH 巽,遜
gȷang 強
bwoj 陪,徘
khemX 慊
ingH 應
pjinH 殯,擯
zae 斜
jaengH 映
hj+jX 暐
mengH 暝
jewX 杳
tsyjet 梲
luw 樓,牢,髏
tsimH 浸
net 涅
dzyep 涉
hao 濠
lamH 濫
dzjang 牆,墻
kwenH 狷
maengX 猛
pheanH 盼
kjeh 瞡
siH 笥
tsrhwaenH 篡
phjun 紛
tsjeX 紫
tsuw 緅
jun 縕
tham 聃
xit 肸
mangX 莽,茻
dewH 蓧
kjangX 襁
sraenH 訕
tsyjek 斥,跖
tsjuwk 蹙,踧
sruwk 蹜
kha 軻
xj+t 迄
nyjewH 遶
i 醫
xej 醯
nrjangH 釀
byuX 釜
trhjimH 闖
tshje 雌
dzjengX 靜,靖
dzyew 韶
aejH 餲
dzrjwenH 饌
sjeng 騂
kjew 驕
bjuwngH 鳳
jwon 鵷
jwon 鵷
dzrju 鶵
pyut 黻
drit 秩
xjw+jH 諱,卉
lamX 覽
xaew 髐
khaewH 撽
tshan 餐,飡,湌
srjaengX 省
tshjuwk 蹴
pheaH 派,𠂢,𣑼
gijX 跽
huwX, huwH 后,㫗
trhjangX 昶
dzrjek 特
sjae 些
saH 些
phjunH 忿
twonH 頓
waen 彎
long 棱,稜
xet 褉
xjwe 麾
tsyhit 叱
dzje 疵
sreamX 摻
tsomX 寁
xwek 砉
phej 批
khwanX 款,窾
xwaek 謋
gjejH 偈
hwej 攜
tsyweH 惴
tshwenX 惴
tshwon 村
nywenX 軟,㼱
nwanX 暖
eamX 黯
phing 砯
thop 踏
tsen 牋,箋
tsyhejH 掣
mwonH 悶
tsyhang 昌
dreamX 湛
phet 撇
tshjewH 俏
haenX 僩
ingH 膺
khjomX 欠,凵
phuH 怖
thap 榻
sjowngX 聳
tshwijH 翠
jwieng 縈
hwoj  廻
kwejH 桂
kaX 舸
drzuwk 舳
srjangX 爽
hwengX 迥
ngjwonX 阮
phan 潘,拚
kwonX 丨,𣠔
nyjemX 冄
tsrhaet 剎
mo 摹
yijH, dejH 㣇
trhjek 彳
gjen, gjonX, gjenX 鍵
syemX 閃
tsyhew 紹
dzyhewX 紹
khan, khean, khinH 臤
trhjen, trhjenX 㢟
ljeX 㸚
mjot, xjwet, tshjwek, xwik 𥄎
tsrim, tsom 兂
ngjonX, ngat 屵
dzuX 麤
it 𠃉
xanX, xanH 𠂆
phwat 𣎵
swij, sjew, sinH, swinH 奞
geaX 𦫳
ngat 歺
bjewX 𠬪
kyi 丌
swij, tsrhjwe 夊
jonX, 'jenX 㫃
hom, homX 𢎘
muwH, mawX 𠔼
ngjim 𱐕
drjo, drjoX 宁
tsywenX, tsrjwenH, nrip 孨
hawX, kawX 夰
buwk, pjuwk 菐
njep 帇
pheaH, phjinH 𣎳
dwot, thwot 𠫓
zjijX 𤉡
tsjwe 惢
